return_id,item_id,reason,return_date
1,38287,damaged,2025-04-21 02:39:27
2,132092,not_as_described,2024-09-05 19:20:54
3,140374,late_delivery,2024-12-26 14:39:17
4,113454,late_delivery,2024-10-06 06:58:13
5,178889,damaged,2025-04-03 09:53:13
6,122976,not_as_described,2025-03-27 02:58:40
7,66122,late_delivery,2025-02-20 16:32:24
8,71717,damaged,2025-02-18 14:57:16
9,106201,damaged,2025-02-10 20:04:24
10,17962,damaged,2024-09-12 00:47:33
11,32567,changed_mind,2025-03-23 14:41:49
12,145825,changed_mind,2024-12-07 21:59:30
13,113666,changed_mind,2024-12-26 06:53:31
14,11174,damaged,2025-05-12 01:39:26
15,18357,late_delivery,2025-04-08 12:25:45
16,135253,not_as_described,2025-02-23 04:00:03
17,38750,not_as_described,2025-05-13 21:16:52
18,170694,not_as_described,2024-10-07 22:38:42
19,135689,changed_mind,2025-03-21 14:57:05
20,142890,changed_mind,2024-12-23 13:03:04
21,196939,late_delivery,2025-05-25 05:45:37
22,164517,changed_mind,2024-12-06 21:43:21
23,70864,not_as_described,2025-06-20 23:33:58
24,35752,late_delivery,2024-10-05 03:52:33
25,143583,changed_mind,2024-08-05 01:46:48
26,6923,changed_mind,2025-06-25 03:05:03
27,127719,late_delivery,2024-12-15 10:18:32
28,97905,changed_mind,2025-07-02 06:21:24
29,154569,not_as_described,2024-10-16 14:14:24
30,1093,late_delivery,2025-03-06 09:20:31
31,32860,changed_mind,2024-10-17 15:00:29
32,17158,not_as_described,2024-09-02 15:30:52
33,91936,late_delivery,2025-01-20 16:01:42
34,41104,late_delivery,2024-07-19 01:33:44
35,50437,late_delivery,2024-09-02 13:44:02
36,63812,changed_mind,2025-01-21 17:10:00
37,139893,changed_mind,2024-09-19 10:31:18
38,155533,not_as_described,2024-09-14 08:17:36
39,114401,damaged,2024-07-23 06:30:17
40,152989,damaged,2024-08-31 06:59:29
41,69624,damaged,2024-12-29 08:03:20
42,195141,changed_mind,2025-03-18 04:12:56
43,108418,changed_mind,2024-11-02 19:18:28
44,55016,damaged,2024-08-11 10:03:55
45,124093,damaged,2025-03-17 08:28:12
46,44819,late_delivery,2025-02-12 08:45:40
47,65084,damaged,2025-03-13 07:44:03
48,167870,changed_mind,2025-03-16 03:09:52
49,87656,not_as_described,2025-03-13 20:55:13
50,2360,not_as_described,2024-07-29 11:50:13
51,44503,changed_mind,2025-01-15 13:13:31
52,85471,changed_mind,2024-09-08 16:13:45
53,127841,damaged,2025-01-02 16:52:29
54,177278,late_delivery,2024-12-08 23:49:47
55,39927,not_as_described,2024-08-11 06:41:24
56,116530,changed_mind,2025-03-10 15:48:38
57,134881,late_delivery,2024-08-07 09:08:07
58,157939,changed_mind,2025-06-10 13:12:41
59,125485,changed_mind,2025-02-20 13:38:07
