review_id,customer_id,product_id,rating,review_text,review_date,verified_purchase
1,307,13,2,Majority deep traditional red. Both play expect really up able.,2025-07-02 08:08:47,True
2,641,862,5,We save full tell kid. Board contain election buy despite space.,2024-09-10 12:29:37,False
3,809,509,1,Common ago president design. Special identify subject middle smile chair miss.,2023-09-20 03:42:07,True
4,472,702,4,"Generation window paper marriage. Card mind white raise onto.
Half film human foot.",2023-10-06 22:38:21,False
5,663,551,4,Up oil what back. Ask process beautiful two free job. May about answer rule allow mean.,2025-04-19 07:21:39,False
6,434,678,2,Behavior young mother off audience individual national. Hard expert pass factor population author.,2024-12-25 08:24:52,True
7,581,996,5,Ok age action go end assume themselves inside. Nation stay under safe.,2024-01-17 04:07:48,True
8,187,607,3,Budget indicate use around ground have man surface.,2025-02-11 14:56:12,True
9,221,698,3,Home report key. Receive technology behavior. Else relationship green firm night today body.,2024-12-15 18:34:31,False
10,297,584,2,Cut student carry. Sign individual run manager now. Area hit it whom born behavior.,2023-09-11 02:18:32,False
11,958,766,1,Property continue arm music. These person per carry. See crime difficult ago sport commercial.,2024-12-09 09:44:40,False
12,256,97,1,Home hour within deal represent anyone full. Region real role public prevent chair.,2024-09-27 17:58:10,False
13,744,12,3,Relate low history view. Picture military threat.,2024-04-25 09:45:48,True
14,639,468,4,Child Democrat really middle always. See catch against through.,2023-09-19 19:22:13,False
15,522,593,2,Plan office before summer treatment. Than imagine international field.,2023-09-10 13:37:06,True
16,434,636,2,"West paper manage. Must while deal single.
Single pretty common mention budget seem apply address.",2025-01-06 04:42:02,True
17,248,28,5,Baby difference fast company.,2024-07-15 02:16:59,True
18,649,870,3,"Catch town security room. Audience sit manage purpose guy campaign often.
Them feel since less.",2024-08-10 16:14:35,True
19,816,461,4,North home day job.,2024-09-27 08:33:42,True
20,435,873,4,Difficult election suggest. Above firm decision project.,2024-02-12 12:34:21,False
21,554,303,2,"Media body American miss.
Ok later happen vote expert stay. Hot mean yourself use answer so.",2024-04-21 08:10:40,True
22,37,963,4,Assume though perform discuss manager happen arm. Along so per seek certainly.,2025-02-01 19:25:38,False
23,735,572,1,Response star power what. Decade any heart else close. With together kid study affect pressure.,2024-12-04 05:31:36,False
24,174,292,3,Plant prepare quite. A long interview point control. Analysis about five beat.,2023-10-23 01:02:45,True
25,356,393,3,Late before age cut cut.,2023-10-02 18:48:12,False
26,270,126,4,Mention four him child in goal. More quality strategy smile language dinner response.,2023-11-22 10:37:59,True
27,796,936,2,Step perhaps daughter prove. Expert these million field station without reach.,2024-12-23 22:41:17,True
28,281,507,4,Agree stand state common anything good. Sister thousand administration can government.,2024-06-14 03:04:58,False
29,898,795,2,And do above. Father after bank close civil two.,2024-07-04 22:14:41,False
30,134,700,2,Room view raise buy tend garden. However education couple. Degree every film arrive instead onto.,2024-08-17 06:25:40,True
31,192,693,5,Until summer attack miss his event. Provide off either present color. Over skill attack billion.,2023-07-15 04:10:08,True
32,190,882,2,Huge successful particular nearly feel against. Such this eat protect they.,2024-07-21 11:06:36,False
33,113,988,2,Carry whatever attorney wind international never share.,2024-02-12 01:33:57,False
34,784,950,2,Discuss today through son white create. Culture wrong option my hear head while.,2024-09-02 02:24:33,True
35,920,792,3,Try leave trip oil huge win friend my. Degree hot want among somebody.,2025-02-19 05:15:53,True
36,825,419,3,Mention a edge ask. Alone then feeling policy third.,2024-10-04 11:06:02,True
37,665,895,3,Sound great smile reason film. Person past run. Within sense over agency enter fish.,2025-02-04 20:50:32,False
38,486,260,4,Style believe parent name live style entire.,2024-05-08 09:11:23,True
39,273,950,2,New occur off administration bar occur. Side then ground politics.,2024-11-02 18:34:06,False
40,788,686,1,Value response or across nothing and mission manage. My Congress onto move.,2025-06-12 07:08:58,False
41,808,351,2,"Deep several nature. Say sound nature outside.
Box inside ball interview.",2024-11-27 09:13:58,False
42,666,505,1,Field call when age. Western and read network his situation them.,2025-05-21 07:25:20,False
43,727,460,3,He government direction number seat newspaper. Affect center foot almost now along be buy.,2024-07-03 09:33:46,True
44,509,174,5,Tree unit attack off source. He fine vote behavior support head stay.,2024-07-15 00:22:20,False
45,117,865,3,Reach always send. Difference over material worker nor involve.,2023-10-24 09:58:46,False
46,507,399,2,Prove according economy. Those reach hour himself side stuff paper.,2023-11-26 10:06:52,False
47,979,510,4,Personal get leg find quality shoulder. Condition red you key maintain difficult.,2023-07-12 22:13:39,False
48,551,149,4,Believe treat responsibility agent person type. Threat strategy service several nearly.,2025-03-14 05:40:52,True
49,907,574,2,Why class discover turn raise chance. Yeah weight wear environmental series save.,2023-08-20 05:30:48,False
50,909,451,3,Personal power teach sense he role shoulder claim. Night condition during step.,2024-05-14 06:55:44,True
51,305,516,5,Now fact town realize. Care subject they likely parent. Up cell high stay major loss.,2025-03-28 09:41:21,True
52,346,234,5,Attention sell away. Science remain hotel nature explain. Forget write kitchen ahead.,2024-04-29 03:53:36,False
53,186,50,1,Into stand stock write employee note attack.,2024-10-28 02:43:29,False
54,776,247,1,Hope share technology look bag night realize.,2024-07-06 06:20:53,False
55,296,489,4,Employee such floor media resource want nothing. Star officer son long author deep.,2025-02-02 19:48:15,True
56,455,317,4,Reach wish reduce approach sure. Century blue kid between put why owner.,2024-12-08 12:09:30,False
57,863,708,3,Listen born each remain draw interest. This matter question become left tough.,2024-01-23 09:32:52,False
58,324,65,5,Example respond look me discover tough born campaign. Employee production break network although.,2023-09-18 04:15:30,True
59,246,349,2,Radio himself senior. Bring act coach artist every one a.,2023-09-28 19:05:03,True
60,843,844,3,Community medical sit nice.,2024-07-28 08:04:15,True
61,729,263,2,Address especially education share always.,2025-06-17 16:22:18,True
62,373,749,5,Figure task guy here capital figure find. Level beyond finally policy.,2023-09-29 12:16:23,False
63,439,409,3,There east old yes.,2024-05-31 02:47:49,True
64,956,276,4,Piece under foreign speak.,2024-09-08 02:07:18,True
65,707,133,1,Condition focus upon ten chair this camera. Walk will glass practice politics cold policy.,2025-01-01 19:10:03,True
66,457,697,1,Discussion then class economy piece show more about. Able professor it. Wall food add either.,2023-09-06 10:12:19,False
67,336,697,2,Away above enjoy range myself. Develop cut think building ok someone. Effort resource fly.,2024-04-04 15:56:22,True
68,28,317,5,Gas hot tonight. Center decide lay war just employee receive parent.,2023-10-26 18:55:49,True
69,436,544,3,"Into least body its. Vote individual out.
Knowledge tough why response. Contain raise beat table.",2025-03-11 18:02:08,True
70,983,153,2,Because size oil central product deal. Sit almost anyone artist their instead attorney.,2024-03-22 03:32:31,False
71,784,91,1,Appear control usually increase maintain. Which reveal race our plan cultural.,2024-05-12 02:23:27,True
72,335,414,1,Board real walk listen program professional show. See occur left food well matter challenge.,2024-05-22 16:18:41,False
73,938,95,2,Center avoid outside culture force expect usually. Team speak situation blood own someone pull.,2024-11-29 21:33:17,False
74,449,758,2,Show fall green suffer seem lawyer force. Ever there choice rather.,2024-12-16 16:18:39,True
75,118,597,1,Special people area former. May drive tax above during fear. However be south use way wrong.,2025-04-01 22:20:25,False
76,911,290,3,Federal travel center after pass single. All possible responsibility anyone goal.,2023-10-11 15:42:49,False
77,80,396,5,Response more treatment product such fine staff value. Not face suggest program price authority.,2024-11-06 01:14:58,True
78,196,498,5,Employee blood light. Education nice general today probably who drug.,2023-10-04 02:39:08,False
79,687,162,4,Instead church father say. Speak Mr style though class body worry.,2024-03-09 05:19:44,False
80,378,474,5,Message international half financial Republican hope. Amount senior accept actually when.,2025-04-28 02:01:07,False
81,339,351,1,"Reach body image blue form.
Base door food. Effect before rest model.",2023-11-07 00:49:55,False
82,756,829,4,Newspaper sometimes specific billion pretty. Notice buy office try run civil specific top.,2024-05-22 20:16:08,True
83,680,539,5,Figure science order share. See table better speech between local.,2024-10-18 04:28:01,False
84,333,611,5,Choose yes painting almost. Player represent whole stuff soldier.,2025-07-05 14:52:34,True
85,238,241,1,"Because weight result any ten start less.
Father pay difficult. When blue option.",2025-03-07 09:45:13,True
86,627,353,5,"Where talk author law throw new.
Class owner seven success exactly floor. Good heavy door behind.",2025-04-27 22:51:00,False
87,711,29,1,Somebody administration contain letter vote type. Visit end black small support affect debate.,2024-02-23 22:17:27,False
88,589,478,5,Describe apply environmental law. Certain case century economy whether religious however.,2024-12-31 17:56:05,False
89,681,177,3,Relate generation hit. Section raise to never. Religious necessary simple property.,2024-11-22 14:14:57,False
90,774,509,3,Pattern ten magazine. Outside central conference discuss wrong positive beautiful kitchen.,2023-12-29 07:29:58,True
91,968,134,3,Try main board. Maybe case market none hundred.,2024-07-01 23:58:26,False
92,573,502,2,Growth somebody special professional late worry pick. Energy fact commercial medical heart arrive.,2025-03-17 21:27:10,False
93,468,591,5,Win leg thousand. Significant very discussion.,2023-10-14 04:08:40,False
94,61,12,1,No project with our treatment drug. Arrive sort card everything relationship your.,2023-11-05 18:06:02,False
95,87,951,5,Indicate key should standard sit political table. Quickly everybody close product clearly.,2024-11-20 16:02:25,True
96,767,108,3,Drop raise manage last last person from.,2024-04-10 21:24:11,False
97,681,826,3,This stage one become garden. Both real role without alone door.,2024-10-22 08:09:32,True
98,597,684,2,Score debate southern catch few quickly.,2024-08-26 19:33:04,True
99,678,945,4,Strong avoid fill true conference mention. Meet man yet clearly human.,2025-01-30 03:27:07,False
100,786,677,3,Six save group serve line. Writer direction threat according social.,2024-02-29 15:14:55,True
101,894,727,5,Similar each live fund magazine. Program community town group small challenge no push.,2025-04-26 07:02:43,False
102,648,659,2,Interest past his. So father degree.,2024-08-08 02:13:22,True
103,307,566,1,Action field yet add. Buy before start century. However kind visit Mr some eye.,2023-11-23 13:20:33,False
104,334,387,1,Note body know tough. Inside garden painting themselves describe hear.,2024-03-21 05:23:15,False
105,351,915,5,Expert friend kind imagine through. Owner step service public relate more film.,2025-04-06 01:42:00,True
106,87,953,5,Wife again low nature once yes. Hear television its like term drug. Five reflect between.,2024-09-15 06:12:11,False
107,17,691,1,"From candidate both. Area sort box.
Alone any check military seven. Economy happen act fund.",2025-05-24 13:02:58,False
108,108,479,2,"Structure fear course.
Long factor general scene. Ever building box adult herself.",2024-02-24 00:12:16,True
109,216,482,2,In direction detail community rule clear away. Actually idea house serve parent until fill.,2023-12-07 19:03:00,True
110,369,88,5,Condition minute program maybe. White language president. Federal be responsibility form whether.,2025-06-08 02:58:16,True
111,331,770,3,Partner interest study national occur. Wait car center Mrs memory.,2024-01-25 04:50:07,False
112,411,516,4,Create we truth country stock throw nor.,2023-12-04 13:14:38,False
113,979,638,2,Him special enjoy eight safe ahead stop. Technology policy light defense impact hard.,2025-02-06 12:41:29,False
114,863,903,4,Argue quite answer evidence. Strategy however admit finish during avoid.,2025-04-25 00:14:05,True
115,180,380,2,Father high quality close never. Only model plan often official something.,2023-08-11 21:25:00,False
116,705,41,3,Seek which yes reason story training. Investment data much.,2024-10-25 09:29:26,True
117,27,511,1,Try itself history local item site story. Money analysis member support.,2024-11-03 05:12:06,False
118,885,630,1,"Follow international far. Bar movement help.
Eye season there per ground mean.",2024-04-19 12:48:14,False
119,773,160,4,Might popular heavy claim often alone serve. Small goal majority eye green.,2023-10-13 23:02:54,False
120,623,687,1,Why huge anything myself. Apply perform many no amount.,2025-01-30 21:07:12,True
121,974,191,2,Expect whole fall computer. Opportunity know name before concern investment chair.,2024-08-21 18:37:20,True
122,388,182,4,Ago memory relate land media stay present.,2025-05-05 23:26:30,True
123,197,266,5,List follow increase. Believe deep short PM. Way dog step activity place business.,2024-09-02 19:43:42,False
124,79,73,5,Road describe pressure pay sometimes. Report them ahead. Others your heart enough mention event to.,2023-12-26 17:56:38,False
125,572,512,1,Trial her stuff author citizen certainly.,2025-06-28 02:51:06,False
126,218,420,4,Look gas security recently. Him south PM we house current. Despite serious offer everybody.,2024-06-26 07:25:26,True
127,872,317,5,Pretty there program. Game party against second.,2023-08-16 23:55:26,False
128,270,123,5,Country power center single result she newspaper single. Long friend able number move dark.,2023-10-31 10:13:00,True
129,460,840,1,Page people human character power. Allow girl commercial both wife carry exactly.,2024-01-26 03:32:52,True
130,197,477,4,Oil career claim put. Worry senior meeting manage claim guess.,2025-07-05 19:55:09,False
131,599,69,2,Whose apply act to home. Product at discussion ten across water open.,2025-05-11 21:45:04,True
132,4,922,4,Event long protect a west yes. List my moment. Them here piece husband in.,2024-06-30 10:07:29,True
133,508,401,3,Financial agent show industry eight seek effort continue. Million left ever.,2025-05-24 13:40:29,True
134,414,931,1,Hundred respond customer month crime not. Child week itself history Congress guy.,2024-01-12 11:11:12,False
135,827,642,1,Center result central stop somebody green indeed. Believe several another.,2024-05-07 05:05:27,False
136,346,29,3,"Up that similar find.
While dog series spring almost his rise.",2024-05-25 18:48:07,False
137,373,533,3,Person whose buy another every push option. Should color fill my near your.,2023-08-23 23:06:45,False
138,321,849,3,My professor history information. Smile specific force continue relationship last certainly.,2025-04-11 20:29:06,True
139,391,285,2,Follow however name important rich. Common would each work. Believe just moment last trial.,2024-10-18 02:00:14,False
140,702,793,3,Total soldier chair religious. Your start piece there buy.,2025-05-20 05:40:33,True
141,52,670,3,"Music tax reduce pattern. Require score tax total decide fill.
Family style skin low job.",2025-06-30 20:29:43,True
142,947,635,2,Boy since impact current rule traditional. Candidate expect provide network I single level.,2023-12-08 10:04:25,False
143,400,818,5,Either value cover number tree. Music detail affect. Let not book modern a wish star.,2025-06-20 17:22:11,False
144,940,153,5,"Speak anyone bit always actually also.
While walk most issue nation board say.",2023-09-19 18:19:51,False
145,6,241,1,Wide personal especially owner professional effect. Woman send they worker.,2024-01-03 15:35:18,True
146,187,947,1,West reduce how inside stage add. Stage left style. Parent both marriage sign who no themselves.,2024-05-25 20:14:37,False
147,477,523,4,Defense they oil professional. Recent me six rule someone music from order.,2024-12-30 15:23:24,True
148,462,630,3,Large today sometimes reflect sea. War fact question eye drive. Yourself Republican first get.,2024-07-01 12:06:53,False
149,487,372,1,Wrong sister list eat. Early ready although early job well. Put over mission out.,2024-04-20 23:56:02,False
150,137,519,1,Doctor myself data option. Total member provide common word far ask.,2024-03-29 01:50:44,False
151,201,896,2,Despite response help security. Job food sometimes. Still bed environment camera purpose range.,2023-11-07 17:05:49,False
152,690,368,1,Wind method own within. Professional many source.,2024-09-23 15:09:30,False
153,963,693,3,Quality hospital this maintain unit wish question interest. Sense church cold receive eight.,2024-05-01 20:26:03,False
154,319,715,3,Effort TV method message become product.,2024-11-15 07:59:22,False
155,732,146,1,Room house figure dog. Student add of support.,2024-08-17 12:47:08,False
156,443,112,3,Office evening perform career. Peace white item form develop.,2024-10-14 21:07:54,True
157,626,997,2,Majority but field get follow society threat. Measure draw seat home. Seat without table city.,2024-06-20 13:55:26,False
158,151,156,3,Appear since similar TV bank. Analysis cultural well. Find specific walk arm current.,2023-11-19 06:52:38,False
159,950,629,5,Write happy personal crime million within bar. Suddenly create whether hour push.,2025-07-03 03:29:30,True
160,726,545,3,In traditional somebody actually next success. Foreign issue executive language.,2025-02-13 08:34:17,False
161,939,246,5,Too computer control certain degree behind.,2024-12-27 02:57:57,True
162,771,191,5,Probably article tend. Goal huge goal citizen center beyond.,2024-07-27 13:03:03,False
163,669,942,5,See there fire new television people role economic. Under world opportunity.,2024-10-22 02:46:39,False
164,10,747,1,Trip standard effect really kid girl under. Happy movement cause unit song involve think.,2023-07-28 15:20:22,False
165,967,5,2,Front sign every. Doctor government there fight him.,2024-02-29 07:20:30,True
166,942,871,1,More beat force memory fish make. Here create current ready education senior.,2024-02-04 02:14:00,True
167,384,162,5,There rest loss state professor guess. Notice alone foreign standard often. Dark sit born.,2023-12-21 08:12:36,False
168,45,359,1,Possible doctor open. It professor thank development whole top.,2024-02-24 23:26:48,True
169,181,607,3,Moment western century decide hundred article yeah. Hand site material choice effort.,2024-06-21 18:49:55,False
170,30,583,3,Month listen face baby. Two do likely difficult mean Mr. At recognize south better.,2024-06-06 19:37:57,True
171,928,646,5,"Mind budget skill.
Three family allow care. Western you line far foot others response.",2024-02-06 20:41:28,True
172,369,618,1,Company station mind radio. Fast conference city born soon and. Space seek father wall.,2025-02-18 00:25:00,True
173,852,999,3,Time police husband effort amount audience. Check kind style into.,2024-08-15 05:38:57,True
174,296,746,5,Agency similar something.,2023-12-07 19:44:40,True
175,441,478,4,Guess act both phone. Article subject skill care note performance sound attorney.,2023-09-07 09:48:21,False
176,61,843,5,School evening recent south. Huge environment these. Its major course though opportunity.,2024-01-14 02:01:07,True
177,407,518,5,"Above someone hundred rate the.
Mission begin data hold after per long. See toward look.",2025-04-07 07:49:24,True
178,719,185,5,Huge return business where. Market cultural road resource them continue free.,2024-11-12 21:53:17,False
179,366,153,5,Economy common send. Both social when identify. Event writer try support.,2025-01-17 19:36:52,True
180,304,926,3,Lose foot anyone know technology chance. Identify change father nearly moment face perform care.,2025-01-10 20:29:02,False
181,568,754,3,Miss both finally decade total. Author enter old their. Sport thousand opportunity.,2023-10-07 13:39:18,True
182,823,338,2,Anything beautiful read very. After end notice body born. Send exist ever from language rather.,2023-11-04 00:28:23,False
183,446,974,1,Month fight alone meet speech continue since. Television factor some. All life for mind turn.,2024-10-31 00:44:53,True
184,276,507,4,Onto rather to. Heavy close world product. College so group miss.,2024-11-17 18:20:17,True
185,582,448,4,Machine resource food turn growth. Cup contain market reason.,2024-04-12 06:34:13,False
186,494,69,1,From director style theory figure process various. Organization idea watch argue inside.,2024-03-22 02:37:24,False
187,800,624,4,By newspaper role. Concern skin school money church main dark begin.,2023-11-20 14:52:15,True
