ticket_id,customer_id,created_at,status,issue_description,priority
1,627,2024-08-13 12:08:07,closed,Enjoy last best worry as.,medium
2,206,2024-07-18 05:00:18,closed,Cultural kind pass event perhaps.,high
3,963,2025-03-19 05:50:07,in_progress,Imagine parent factor American team law actually.,medium
4,685,2025-06-23 22:32:49,in_progress,Plan conference lay history.,high
5,306,2025-05-29 14:29:43,in_progress,Wear recognize station fly.,high
6,629,2024-11-25 17:36:30,closed,Party accept east serious cause.,high
7,781,2024-08-15 17:08:11,in_progress,Owner believe sound Republican perhaps look.,medium
8,270,2025-01-02 13:55:52,in_progress,Indeed Congress reason Mrs.,low
9,484,2025-03-04 22:33:49,closed,Middle plan resource fall go bank.,medium
10,726,2025-05-04 09:54:29,closed,Character example claim ability movement.,high
11,332,2024-08-19 12:52:23,in_progress,Condition use true.,low
12,712,2025-02-04 23:45:28,closed,Up picture up.,low
13,400,2025-02-19 21:19:13,in_progress,Day since born role.,medium
14,999,2024-11-08 13:37:49,closed,Strong loss them security year answer.,low
15,14,2025-05-09 07:08:28,closed,Both mind leg religious chance decade listen.,low
16,561,2024-12-08 04:13:18,closed,Actually home would.,medium
17,907,2024-10-14 20:09:46,open,Hold past organization hair make.,high
18,248,2025-07-06 14:30:05,open,Property color how third.,low
19,981,2024-10-08 08:11:27,open,Move strategy step conference.,high
20,317,2025-05-25 23:12:48,in_progress,Gas growth employee team.,medium
21,968,2024-07-27 20:57:38,in_progress,Prevent section report child approach.,high
22,248,2024-07-19 08:35:09,open,Executive music fire they.,low
23,11,2024-08-07 16:38:34,in_progress,Price suddenly by performance bank.,high
24,933,2025-04-17 04:14:32,in_progress,Throughout until value particularly.,high
25,113,2024-12-22 18:56:16,open,Become exist too before military.,low
26,307,2025-05-20 03:05:38,open,Control anything customer peace.,medium
27,505,2024-12-04 16:32:58,open,Gun step better card.,low
28,548,2025-05-27 20:10:03,in_progress,Try specific candidate century security.,low
29,244,2025-06-29 10:44:51,closed,Data moment seat bill say.,low
30,384,2024-07-20 22:19:45,closed,State side major.,low
31,954,2025-03-29 11:57:14,in_progress,Quite fast air letter.,low
32,882,2025-02-22 19:24:41,closed,Some wife sign point.,low
33,492,2025-03-31 04:03:57,closed,Shake before three war own rock occur.,medium
34,656,2025-03-27 13:32:32,open,Point beat social head.,low
35,70,2024-12-31 06:54:42,closed,Data kind establish single win plant next.,high
36,638,2025-06-21 11:02:39,closed,Decision create true arrive wind reason.,high
37,935,2024-08-20 11:04:27,open,Maybe former plant scene send but degree.,medium
38,16,2025-04-27 19:35:35,open,Game these member sea.,high
39,69,2025-03-04 19:30:31,in_progress,Theory offer evening.,high
40,201,2024-10-16 21:07:35,open,Response sit apply same commercial body.,low
41,741,2024-08-15 12:47:55,closed,Process mind four home writer common treat.,low
42,302,2025-02-03 09:59:47,open,Wish call meeting open represent.,high
43,353,2025-03-19 12:56:05,closed,Good friend agent hard same on allow traditional.,low
44,11,2025-04-17 22:43:06,open,Need daughter field cause trip oil bad.,low
45,611,2024-09-16 09:05:11,in_progress,Protect point avoid road.,low
46,49,2025-02-10 11:57:03,open,Standard prepare south room prove.,medium
47,720,2024-09-20 05:16:35,open,Personal edge reality personal travel suggest.,medium
48,781,2025-06-14 18:49:56,in_progress,Investment stand our room.,high
49,535,2024-08-15 00:30:04,open,Despite none give history lose month democratic.,low
50,223,2024-07-15 09:03:30,closed,Involve set small church suggest word.,low
51,712,2024-12-16 21:16:24,closed,Apply medical cold reflect poor station gun.,low
52,569,2025-04-22 04:38:55,closed,Sign rather vote even community situation drug.,low
53,970,2025-04-18 06:20:13,open,Church tell treatment position four special.,high
54,838,2024-12-21 23:33:26,closed,Mother argue interesting share cultural Mr likely.,medium
55,687,2025-03-23 03:16:10,open,Civil class right suffer according.,low
56,409,2024-07-12 16:39:52,in_progress,Business conference several base lawyer energy wrong.,medium
57,658,2025-07-09 09:09:56,open,According watch tell parent question management.,high
58,108,2025-03-03 18:48:18,in_progress,Hit century opportunity.,high
59,556,2025-03-15 04:38:27,closed,Eat story director chair.,medium
60,277,2024-11-13 21:37:11,open,Movement anyone remember item summer minute relate form.,high
61,343,2025-03-26 16:47:01,closed,Spend deal his either each capital lay.,low
62,631,2025-05-03 02:34:51,open,Him begin name imagine.,high
63,887,2025-03-15 03:18:20,in_progress,Trouble sound item our way growth.,medium
64,342,2025-06-28 11:55:38,closed,Here if pick resource yeah performance paper.,low
65,896,2024-11-02 11:04:11,closed,Amount when still education direction allow significant.,high
66,102,2025-06-04 10:35:34,open,Even human sing course sit interesting against.,low
67,418,2024-08-24 17:05:55,open,Line reduce bar significant want start.,low
68,517,2024-08-25 00:27:17,closed,Newspaper continue everything.,medium
69,722,2024-10-07 10:22:08,in_progress,Page method store American phone.,high
70,732,2025-02-16 09:36:02,closed,Start situation church activity allow how.,medium
71,862,2024-08-28 05:08:56,open,Process onto method nation approach thing tell six.,low
72,719,2025-05-26 22:07:03,open,Player pass finish bank.,low
73,364,2024-12-13 03:05:46,in_progress,Represent public establish exist interview.,medium
74,346,2025-02-24 04:04:05,open,Scene time opportunity industry.,low
75,156,2024-11-25 10:54:05,closed,Current course drive production citizen.,low
76,9,2025-06-09 21:17:58,in_progress,Require outside argue performance serve decade.,medium
77,319,2025-04-16 04:45:23,open,Understand ever win nearly effort.,low
78,573,2025-03-24 00:44:47,open,Prove radio include fall enough number particular forward.,high
79,849,2025-04-26 12:42:33,open,Or try on capital we answer.,high
80,341,2025-02-25 19:16:49,closed,Us expert music drug source.,low
81,573,2025-04-17 00:05:19,open,Anyone give short we.,medium
